t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
1.1398,cmd,4,45.6269,,,79.37,2.98,
1.1404,state,3,31.9597,4.197,-0.0733,,,31.0
1.1405,state,4,45.6489,0.280,-0.1465,,,30.0
1.1498,cmd,3,31.9597,,,79.37,2.98,
1.1498,cmd,4,45.6269,,,79.37,2.98,
1.1504,state,3,31.9597,-1.399,-0.0440,,,31.0
1.1505,state,4,45.6489,0.839,-0.0879,,,30.0
1.1598,cmd,3,31.9597,,,79.37,2.98,
1.1598,cmd,4,45.6269,,,79.37,2.98,
1.1604,state,3,31.9597,0.839,-0.1026,,,31.0
1.1605,state,4,45.6489,1.959,-0.1465,,,30.0
1.1698,cmd,3,31.9597,,,79.37,2.98,
1.1698,cmd,4,45.6269,,,79.37,2.98,
1.1704,state,3,31.9597,0.839,-0.0733,,,31.0
1.1705,state,4,45.6489,0.280,-0.1465,,,30.0
1.1798,cmd,3,31.9597,,,79.37,2.98,
1.1798,cmd,4,45.6269,,,79.37,2.98,
1.1804,state,3,31.9597,1.959,-0.0440,,,31.0
1.1805,state,4,45.6489,-2.518,-0.0879,,,30.0
1.1898,cmd,3,31.9597,,,79.37,2.98,
1.1898,cmd,4,45.6269,,,79.37,2.98,
1.1904,state,3,31.9597,1.399,-0.0147,,,31.0
